0, Abenteuer, Adventure
1, Action, Action
2, Amateur, Amateur
3, Animation, Animation
4, Biographie, Biography
5, Dokumentarfilm, Documentary
6, Drama, Drama
7, Eastern, Eastern
8, Erotik, Erotic
9, Essayfilm, Essayfilm
10, Experimentalfilm, Experimental
11, Familienfilm, Family
12, Fan Film, Fan Film
13, Fantasy, Fantasy
14, Film Noir, Film Noir
15, Foreign, Foreign
16, Historie, History
17, Holiday, Holiday
18, Horror, Horror
19, Indie, Indie
20, Katastrophenfilm, Disaster
21, Komödie, Comedy
22, Krieg, War
23, Krimi, Crime
24, Kurzfilm, Short
25, Lovestory, Romance
26, Mondo, Mondo
27, Musical, Musical
28, Musikfilm, Music
29, Mystery, Mystery
30, Neo Noir, Neo Noir
31, Road Movie, Road Movie
32, Science Fiction, Science Fiction
33, Sex, Sex
34, Splatter, Splatter
35, Sport, Sport
36, Suspense, Suspense
37, TV Film, TV Movie
38, Thriller, Thriller
39, Tierfilm, Animal
40, Western, Western
